Evaluating    1 trackers on     1 sequences
Tracker: dimp dimp50 None ,  Sequence: pigeon04_wild
Using /root/.cache/torch_extensions as PyTorch extensions root...
Detected CUDA files, patching ldflags
Emitting ninja build file /root/.cache/torch_extensions/_prroi_pooling/build.ninja...
Building extension module _prroi_pooling...
Allowing ninja to set a default number of workers... (overridable by setting the environment variable MAX_JOBS=N)
ninja: no work to do.
Loading extension module _prroi_pooling...
FPS: 18.480836359754
Done
         3764651 function calls (3632342 primitive calls) in 14.452 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      316    0.001    0.000    0.033    0.000 overrides.py:166(decorator)
     1107    0.019    0.000    0.033    0.000 <frozen importlib._bootstrap_external>:830(get_data)
        4    0.000    0.000    0.033    0.008 linear.py:74(__init__)
        1    0.000    0.000    0.033    0.033 common.py:8(pyparsing_common)
        1    0.000    0.000    0.032    0.032 __init__.py:554(_build_master)
        1    0.000    0.000    0.032    0.032 __init__.py:541(__init__)
        4    0.000    0.000    0.032    0.008 linear.py:85(reset_parameters)
    26453    0.032    0.000    0.032    0.000 {built-in method torch._C._get_tracing_state}
     4586    0.031    0.000    0.031    0.000 hipify_python.py:579(add)
     6203    0.012    0.000    0.031    0.000 enum.py:803(__and__)
        6    0.000    0.000    0.030    0.005 __init__.py:51(create_module)
        6    0.000    0.000    0.030    0.005 __init__.py:29(load_module)
        3    0.000    0.000    0.030    0.010 api.py:1(<module>)
        1    0.000    0.000    0.029    0.029 functional_pil.py:1(<module>)
      355    0.002    0.000    0.029    0.000 sre_compile.py:482(_compile_info)
     1200    0.006    0.000    0.028    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
 1975/255    0.009    0.000    0.028    0.000 abc.py:196(__subclasscheck__)
       67    0.006    0.000    0.028    0.000 dimp.py:430(update_memory)
      8/4    0.002    0.000    0.028    0.007 augmentation.py:117(__call__)
    15482    0.010    0.000    0.028    0.000 enum.py:267(__call__)
5806/3190    0.002    0.000    0.027    0.000 {built-in method builtins.issubclass}
        1    0.000    0.000    0.027    0.027 ImageOps.py:20(<module>)
      237    0.001    0.000    0.027    0.000 typing.py:790(__getitem__)
      913    0.027    0.000    0.027    0.000 {built-in method max}
        1    0.000    0.000    0.027    0.027 ImageDraw.py:33(<module>)
        1    0.000    0.000    0.027    0.027 ssl_.py:1(<module>)
        1    0.000    0.000    0.026    0.026 ImageFont.py:28(<module>)
     2214    0.008    0.000    0.026    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
    45860    0.025    0.000    0.026    0.000 {built-in method builtins.getattr}
       12    0.000    0.000    0.026    0.002 artist.py:1242(__init__)
        1    0.000    0.000    0.026    0.026 url.py:1(<module>)
       12    0.001    0.000    0.026    0.002 artist.py:1262(get_aliases)
   152479    0.026    0.000    0.026    0.000 {method 'startswith' of 'str' objects}
        4    0.000    0.000    0.026    0.006 linear.py:1(<module>)
        1    0.000    0.000    0.026    0.026 exceptions.py:8(<module>)
        1    0.000    0.000    0.026    0.026 request.py:68(<module>)
        1    0.000    0.000    0.025    0.025 compat.py:9(<module>)
      747    0.025    0.000    0.025    0.000 {method 'to' of 'torch._C._TensorBase' objects}
      691    0.000    0.000    0.025    0.000 inspect.py:3063(signature)
      691    0.000    0.000    0.025    0.000 inspect.py:2811(from_callable)
   134917    0.024    0.000    0.024    0.000 {method 'get' of 'dict' objects}
  725/691    0.003    0.000    0.024    0.000 inspect.py:2183(_signature_from_callable)
        1    0.000    0.000    0.024    0.024 Image.py:27(<module>)
     2315    0.003    0.000    0.024    0.000 abc.py:180(__instancecheck__)
     2644    0.016    0.000    0.024    0.000 posixpath.py:338(normpath)
        1    0.000    0.000    0.024    0.024 pyparsing.py:75(<module>)
       28    0.005    0.000    0.024    0.001 __init__.py:794(_rc_params_in_file)
      178    0.002    0.000    0.024    0.000 filter.py:5(apply_filter)
        2    0.000    0.000    0.024    0.012 specifiers.py:4(<module>)
      238    0.002    0.000    0.023    0.000 typing.py:732(__new__)
      142    0.001    0.000    0.023    0.000 dimp.py:190(classify_target)
       26    0.000    0.000    0.022    0.001 pyparsing.py:2779(__init__)
        1    0.000    0.000    0.022    0.022 _jit_internal.py:5(<module>)
      176    0.000    0.000    0.022    0.000 __init__.py:2021(_by_version)
   106749    0.021    0.000    0.021    0.000 {method 'values' of 'collections.OrderedDict' objects}
      176    0.001    0.000    0.021    0.000 __init__.py:2027(<listcomp>)
       67    0.011    0.000    0.021    0.000 dimp.py:445(update_sample_weights)
        1    0.000    0.000    0.021    0.021 client.py:69(<module>)
     4380    0.020    0.000    0.021    0.000 {built-in method __new__ of type object at 0x55670792db40}
        1    0.000    0.000    0.020    0.020 httpserver.py:26(<module>)
      719    0.001    0.000    0.020    0.000 version.py:48(parse)
        1    0.000    0.000    0.020    0.020 platform.py:10(<module>)
      380    0.020    0.000    0.020    0.000 {built-in method builtins.compile}
        1    0.000    0.000    0.020    0.020 _utils_internal.py:2(<module>)
      511    0.000    0.000    0.019    0.000 re.py:179(search)
        1    0.003    0.003    0.019    0.019 {method 'load' of '_pickle.Unpickler' objects}
        2    0.000    0.000    0.019    0.010 specifiers.py:333(Specifier)
      352    0.001    0.000    0.019    0.000 __init__.py:2118(distributions_from_metadata)
      142    0.000    0.000    0.019    0.000 linear_filter.py:78(classify)
        1    0.000    0.000    0.019    0.019 ioloop.py:8(<module>)
        1    0.000    0.000    0.019    0.019 http1connection.py:19(<module>)
      335    0.019    0.000    0.019    0.000 {method 'repeat' of 'torch._C._TensorBase' objects}
      142    0.013    0.000    0.018    0.000 dimp.py:178(get_sample_location)
        1    0.000    0.000    0.018    0.018 Main.py:5(<module>)
      136    0.013    0.000    0.018    0.000 dimp.py:498(get_iounet_box)
        1    0.000    0.000    0.018    0.018 multiarray.py:7(<module>)
        6    0.000    0.000    0.018    0.003 _utils.py:1(<module>)
        1    0.000    0.000    0.018    0.018 model.py:1(<module>)
        2    0.000    0.000    0.018    0.009 blocks.py:24(__init__)
        4    0.018    0.004    0.018    0.004 {warpAffine}
        1    0.017    0.017    0.017    0.017 model.py:293(ArrayType)
        1    0.000    0.000    0.017    0.017 core.py:12(<module>)
      662    0.006    0.000    0.017    0.000 inspect.py:2102(_signature_from_function)
      823    0.017    0.000    0.017    0.000 {method 'clone' of 'torch._C._TensorBase' objects}
      560    0.006    0.000    0.017    0.000 typing.py:613(_remove_dups_flatten)
        1    0.000    0.000    0.017    0.017 core.py:164(load_base_library)
        1    0.000    0.000    0.017    0.017 core.py:196(read_style_directory)
     3959    0.011    0.000    0.017    0.000 module.py:781(__setattr__)
       90    0.000    0.000    0.017    0.000 typing.py:1248(__getitem__)
    23301    0.009    0.000    0.017    0.000 sre_parse.py:248(match)
66818/66731    0.013    0.000    0.017    0.000 {method 'join' of 'str' objects}
    71/64    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:927(exec_module)
     1241    0.002    0.000    0.016    0.000 __init__.py:655(__setitem__)
        1    0.000    0.000    0.016    0.016 animation.py:19(<module>)
    71/64    0.003    0.000    0.016    0.000 {built-in method _imp.exec_dynamic}
        1    0.000    0.000    0.016    0.016 faster_rcnn.py:1(<module>)
        1    0.000    0.000    0.016    0.016 _axes.py:71(Axes)
       26    0.000    0.000    0.016    0.001 __init__.py:868(rc_params_from_file)
     2362    0.002    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
